N     iterations
2      1
3      9
4      6
5      31
6      35
7      69
8      92
9      120
10      137
11      198
12      208
13      269
14      301
15      365
16      411
17      474
18      532
19      616
20      662
21      744
22      796
23      901
24      976
25      1059
26      1156
27      1240
28      1323
29      1422
30      1536
31      1669
32      1788
33      1869
34      2005
35      2133
36      2250
37      2358
38      2490
39      2617
40      2801
41      2904
42      3061
43      3240
44      3353
45      3492
46      3664
47      3857
48      4029
49      4161
50      4372
51      4559
52      4724
53      4913
54      5068
55      5318
56      5521
57      5666
58      5881
59      6098
60      6294
61      6510
62      6708
63      6934
64      7204
65      7439
66      7642
67      7878
68      8141
69      8379
70      8611
71      8885
72      9084
73      9340
74      9649
75      9839
76      10147
77      10390
78      10678
79      10999
80      11253
81      11546
82      11803
83      12129
84      12499
85      12725
86      13064
87      13343
88      13582
89      13928
90      14251
91      14694
92      14867
93      15273
94      15502
95      15854
96      16258
97      16562
98      16964
99      17229
100      17600
