N     iterations
2      1
3      8
4      16
5      29
6      48
7      64
8      82
9      109
10      143
11      178
12      205
13      248
14      295
15      335
16      390
17      431
18      503
19      561
20      631
21      683
22      761
23      842
24      920
25      996
26      1086
27      1198
28      1285
29      1360
30      1479
31      1581
32      1702
33      1810
34      1914
35      2004
36      2145
37      2267
38      2389
39      2528
40      2695
41      2808
42      2976
43      3099
44      3213
45      3426
46      3555
47      3714
48      3895
49      4083
50      4259
51      4401
52      4611
53      4792
54      4984
55      5190
56      5406
57      5546
58      5717
59      5949
60      6106
61      6400
62      6666
63      6853
64      7089
65      7227
66      7499
67      7714
68      7980
69      8184
70      8461
71      8693
72      8959
73      9202
74      9409
75      9792
76      9996
77      10240
78      10573
79      10834
80      11103
81      11414
82      11724
83      11962
84      12273
85      12564
86      12885
87      13176
88      13513
89      13863
90      14279
91      14506
92      14697
93      15124
94      15551
95      15895
96      16214
97      16530
98      16805
99      17195
100      17543
