N     iterations
2      1
3      7
4      6
5      12
6      16
7      23
8      22
9      31
10      31
11      35
12      40
13      44
14      46
15      47
16      52
17      64
18      65
19      65
20      70
21      79
22      82
23      82
24      90
25      99
26      95
27      100
28      107
29      110
30      114
31      118
32      123
33      133
34      133
35      136
36      145
37      151
38      155
39      155
40      164
41      168
42      169
43      169
44      181
45      187
46      186
47      187
48      197
49      206
50      202
51      208
52      212
53      221
54      226
55      227
56      232
57      241
58      243
59      245
60      248
61      263
62      260
63      266
64      271
65      278
66      283
67      286
68      289
69      296
70      294
71      298
72      307
73      314
74      313
75      317
76      324
77      332
78      335
79      341
80      344
81      352
82      352
83      355
84      359
85      372
86      369
87      375
88      383
89      390
90      394
91      397
92      404
93      407
94      405
95      409
96      419
97      426
98      426
99      428
100      436
