N     iterations
2      1
3      6
4      10
5      15
6      22
7      26
8      37
9      34
10      46
11      54
12      55
13      67
14      81
15      80
16      100
17      95
18      108
19      109
20      124
21      139
22      154
23      144
24      168
25      182
26      170
27      192
28      191
29      203
30      208
31      214
32      216
33      228
34      260
35      255
36      295
37      263
38      263
39      286
40      286
41      304
42      342
43      322
44      358
45      363
46      379
47      372
48      382
49      410
50      424
51      422
52      432
53      442
54      460
55      441
56      485
57      533
58      531
59      525
60      521
61      538
62      540
63      517
64      537
65      532
66      556
67      579
68      603
69      623
70      614
71      597
72      635
73      635
74      672
75      671
76      733
77      699
78      710
79      708
80      721
81      735
82      751
83      757
84      745
85      726
86      789
87      832
88      820
89      819
90      800
91      864
92      875
93      872
94      817
95      902
96      920
97      876
98      950
99      1006
100      975
